Charity_Legal_Name,Charity_Website,Town_City,State,Advancing_Education,Promoting_or_protecting_human_rights,Advancing_social_or_public_welfare,Children,Families,Females,Financially_Disadvantaged,Males,People_at_risk_of_homelessness,email,contact
Hillsong International Foundation,www.hillsong.com,Norwest,NSW,,,,,,,,,,hello@hillsong.com,288535353
The Trustee For Victorian Foundation Oral Education For The Deaf,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
St Patricks Primary School,,St Arnaud,VIC,Y,,,Y,Y,Y,Y,Y,,principal@spstarnaud.catholic.edu.au,
Kerrie Neighbourhood House Inc,www.knh.org.au,Glen Waverley,Victoria,,,,Y,Y,,Y,,,coda@bigpond.net.au,
Werribee Church Of Christ,https://www.werribeechurchofchrist.org,Werribee,Victoria,,,,,Y,Y,,Y,,admin@werribeechurchofchrist.org,03 9741 6051
The Lorne Village,,Lorne,Victoria,,,,,,Y,Y,Y,Y,clive.goldsworthy@gmail.com,437910472
Roxburgh Park Samoan Congregation Of Jehovah'S Witnesses,,Coolaroo,Victoria,,,,,,,,,,roxburghparksamoajw@gmail.com,
The University Of Sydney,http://www.sydney.edu.au,Forest Lodge,New South Wales,Y,,,,,Y,,Y,,fct.compliance@sydney.edu.au,02 9351 2222
Abundant Life Christian Fellowship,,,,,,,,,,,,,vanemmerik.tricia@gmail.com,
Belcher E N Estate,,Melbourne,VIC,,,Y,,,,,,,charitableadmin@eqt.com.au,
"Worldwide Missionary Movement, Melbourne Inc.",https://www.facebook.com/wmmvic,Maidstone,Victoria,,,,,,,,,,mmm.australia.melbourne@gmail.com,
Kyabram Blue Light,https://www.bluelight.org.au/kyabram-blue-light/,Kyabram,Victoria,,,Y,Y,,Y,Y,Y,Y,Mitchell.Bull@police.vic.gov.au,358531777
Indigo Creek Landcare Group Incorporated,,Barnawartha,VICTORIA,,,,,,,,,,indigocreeklandcare@gmail.com,
Charles Wright Charitable Trust -  Royal Melbourne Hospital Account,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
Glenroy Oak Park Baptist Church,http://www.glenroyoakparkbc.com,Oak Park,VIC,,,,Y,Y,,,,,treasurergopbc@hotmail.com,
Dunmunkle Lodge Inc,www.dunmunklelodge.com.au,Minyip,Victoria,,,,,,Y,,Y,,Peter.Ballagh@dunmunklelodge.com.au,
Archdiocese Of Melbourne Catholic Development Fund,https://www.catholicdevelopmentfund.org.au/,East Melbourne,Victoria,,,,Y,Y,,,,,treasury@melbcdf.org.au,
The Trustee For Victorian Community Foundation-The George Perry Fund,,Melbourne,Victoria,,,,,,,,,,,
The Trustee For The Lochtenberg Foundation,,,,,Y,Y,,,,,,,sue@nealaccountants.com.au,398793147
Airport West Early Learning Cooperative,www.awelc.com.au/,Airport West,Victoria,Y,,,,Y,,,,,info@awelc.com.au,93742202
Waverley Baptist Church,www.waverleybaptist.org.au,Wheelers Hill,Victoria,,,,,Y,,,,,office@waverleybaptist.org.au,
The Trustee For Estate Harold A Abbott,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,386235000
Agape Christian Chinese Church,http://www.agapeglory.org.au,Greensborough,Victoria,,,,,Y,,,,,yuhsuehshih@gmail.com,404247486
St Francis Xavier Catholic Church Montmorency,http://www.pol.org.au/montmorency,Montmorency,VIC,,,,Y,Y,Y,Y,Y,Y,montmorency@cam.org.au,
Foundation In Religious Education,,Mulgrave,VIC,Y,,,Y,,,,,,,
Womens Liberation Halfway House Inc,www.wlhh.org.au,,,,,,Y,Y,Y,,,Y,wlhh@wlhh.org.au,0417 343 575
Holden Street Neighbourhood House Inc,www.holdenstreet.org.au,Fitzroy North,Victoria,,,,Y,Y,Y,Y,Y,Y,manager@holdenstreet.org.au,03 9489 9929
Anglican Trusts Corporation Of The Diocese Of Gippsland,www.gippslandanglicans.org.au,Foster,VIC,,,,,,,,,,bbbeans59@hotmail.com,
Christ Centered Community Church Inc,cccvat.com.au/directory/vic/melbourne/samoan-open-brethren-community-church,Cranbourne North,Victoria,,,,Y,Y,Y,,Y,,C4church19@outlook.com,
The Type1 Foundation,www.type1foundation.com.au,Belmont,Victoria,,,Y,Y,Y,,,,,ange@type1foundation.com.au,422286054
J J Mcmahon Memorial Kindergarten,https://jjmcmahon.org.au/,Kew,Victoria,Y,,,,,,,,,info@jjmcmahon.org.au,
Satsang Oceania Incorporated,www.satsangoceania.org,Epping,New South Wales,,,,Y,Y,Y,,Y,,satsangoceania@gmail.com,427429187
Broadmeadows Community Toy Library Inc,https://broadmeadowstoylibrary.setls.com.au/,Broadmeadows,VIC,,,Y,,Y,,,,,broadmeadowstoylibrary@gmail.com,409529970
Capital City Local Learning And Employment Network Inc.,www.cityllen.org.au,Melbourne,Victoria,Y,,Y,,,Y,Y,Y,Y,louisesmith@cityllen.org.au,
Spiritfilled Church Worldwide,,Kealba,Victoria,,,,Y,Y,Y,Y,Y,Y,spiritfilledarena@gmail.com,404673058
1St Serbian Rsl Sub-Branch Welfare Patriotic Fund,,Melbourne,VIC,,,,,,,,,,charity@rslvic.com.au,
Stephanie Lake Company Inc,www.stephanielake.com.au,Fitzroy North,Victoria,,,,,,,,,,claire@stephanielake.com.au,488011242
The Give A Care Foundation Inc.,http://thegiveacarefoundation.org.au,Cheltenham,Victoria,,,Y,,,Y,,Y,,jeff@giveacare.com.au,447277123
"The Redeemed Christian Church Of God ""King'S Court Parish""",https://rccgkingscourt.com.au,Coburg North,VIC,,,,Y,Y,,,,,rccgkc.au@gmail.com,434596722
African Engagement Platform,,Aberfeldie,Victoria,,,,,,,,,,africanengagementplatform@gmail.com,450849976
Church Of Christ Ringwood Incorporated,www.ringwoodchurch.org.au,Ringwood,Victoria,,,,Y,Y,Y,Y,Y,Y,anne@ringwoodchurch.org.au,
Newhope Baptist Church School Building Fund,,Blackburn North,VIC,Y,,,Y,,,,,,,
Mornington Mens Shed Incorporated,http://www.morningtonms.mpmsn.com.au,Mornington,VIC,,,,,,Y,,Y,,barry.eastgate@bigpond.com,435995099
Countrywide Community Missions Victoria Inc,www.ccmv.com.au,Epping,Victoria,,,,Y,Y,Y,Y,Y,Y,kev@ccmv.com.au,411394494
Hamilton & District Aged Care Trust,,Hamilton,Victoria,,,,,,,,,,ceh21@bigpond.com,21
Firm Foundation Ministries Inc,ffmglobal.com,Ravenhall,Victoria,,,,,Y,Y,Y,Y,,chuks@mastax.com.au,
Holland Foundation,https://hf.org.au,Black Rock,Victoria,,,,Y,Y,Y,Y,Y,Y,admin@hf.org.au,
The Holy Saviour Ethiopian Orthodox Tewahedo Church Of Melbourne Australia,,,,,,,Y,Y,Y,,Y,,theholysaviour.mel@gmail.com,14
Investor Group On Climate Change,www.igcc.org.au,,,,,,,,,,,,secretariat@igcc.org.au,
Jehovah Jireh Christian Fellowship Church Inc,,Cranbourne,Victoria,,,,,Y,,,,,jehovahjirehchristianchurch@gmail.com,448216391
Life Community Church Wyndham Inc,https://www.newstart.church,Manor Lakes,Victoria,,,,Y,Y,Y,Y,Y,,office@newstart.org.au,
Salt & Light Mission Inc.,snlmission.com,Melbourne,Victoria,,,Y,,,Y,Y,Y,Y,pauljang83@gmail.com,450346497
Goulburn Valley Pride Incorporated,http://www.gvpride.org,Shepparton,Victoria,,Y,,Y,Y,Y,Y,Y,Y,gvpride@gvpride.org,
Uca - Inverloch,,Inverloch,Victoria,,,,,Y,,,,,liz@cattfamily.net,
Australian Search And Rescue K9 Incorporated,www.asark9.com.au,Burnley,Victoria,,,,,,,,,,info@asark9.com.au,0426 200 131
The Trustee For The Salvation Army Aust Self Denial Fund (For Overseas Aid),https://www.salvationarmy.org.au/international-development/,Blackburn,VIC,,,Y,,,,,,,,
James Andrew Sawyer Charitable Trust,,Mccrae,Victoria,,,,,Y,,,,,Jasawyerfoundation@gmail.com,408868604
Geelong Historical Society Inc,www.geelonghistoricalsociety.org.au,Rippleside,Victoria,,,,,,,,,,caracaradoc@bigpond.com,
Uca-Kangaroo Flat,,Kangaroo Flat,VIC,,,,,Y,,Y,,Y,kangarooflatunitingc@gmail.com,
Health In Kind Incorporated,healthinkind.org.au,Bankstown,New South Wales,,,Y,Y,Y,Y,Y,Y,Y,admin@healthinkind.org.au,297092600
Amaze Incorporated,www.amaze.org.au,Richmond,Victoria,,,,Y,Y,Y,,Y,,Tina.Chronis@amaze.org.au,396571600
The Trustee For Ec Curwen-Walker Charitable Trust - Doris Edna And Kathleen Curwen-Walker Memorial Fund,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
Bk 2 Basics Melbourne Incorporated,www.bk2basicsmelbourne.com,Narre Warren,Victoria,,,Y,Y,Y,Y,Y,Y,Y,bk2basicsmelbourne@gmail.com,401050732
Kings Kids Foundation Ltd,www.kingskidsfoundation.net,Werribee,VICTORIA,,,Y,,,,,,,,
Chelsea And District Historical Society Inc.,,Chelsea,Victoria,,,,,,,,,,chelseadistricthistorical@gmail.com,
Sleep Bus Limited,http://www.sleepbus.org,Spotswood,VIC,,,Y,,Y,Y,Y,Y,Y,Simon@sleepbus.org,429824829
Australian Catholic Theological Association,http://catholictheology.asn.au,,,,,,,,,,,,CatholicTheologyAus@gmail.com,
Lorne & District Men'S Shed Inc,https://www.facebook.com/Lorne Mens shed,Lorne,VIC,,,Y,,,,,Y,,lornemensshed@gmail.com,03 5289 2909
The Merri Community Child Care Centre And Kindergarten Inc,www.merriccc.com.au,Thornbury,Victoria,,,,,Y,Y,Y,,Y,HelenEvdokimou@merriccc.com.au,394169227
The Aftershock Group Ltd,www.theaftershock.org,Kew,Victoria,,,,,,Y,,Y,,suzanne.neate9@gmail.com,
Newhope Medical Ltd,https://newhopemedical.com.au/,Blackburn North,Victoria,,,,,,,,,,info@newhopemedical.com.au,398907999
Centre For Building Better Community Ltd,https://www.community.how/,Fitzroy,Victoria,Y,,,Y,Y,,Y,,,info@community.how,
The Trustee For The Loreto Redress Trust,loreto.org.au,Hawthorn,Victoria,,,Y,,,,,,,admin@loreto.org.au,388320402
Scanlon Foundation Research Institute Ltd,scanloninstitute.org.au,Melbourne,Victoria,Y,,,,,,,,,info@scanloninstitute.org.au,03 9629 1490
Dj & Lm Fox Foundation,,,,,,,,,,,,,client.services@nodco.com.au,
Network West,www.networkwest.net,Spotswood,VIC,,,Y,,Y,,Y,,,info@networkwest.net,
Rona Scrubs Ltd,https://www.ronascrubs.com,Brighton,Victoria,,,,,,,,,,info@ronascrubs.com,61422491482
Mrkh Australia Ltd,www.mrkhaustralia.org,,,,,Y,Y,Y,Y,Y,Y,,info@mrkhaustralia.org,422237833
Mother Cow Sanctuary Ltd,www.mothercowsanctuary.com.au,St Kilda,Victoria,,,,,,,,,,mothercowsanctuary@gmail.com,432068690
Optimism Global Ltd,https://www.projectoptimism.com.au,Melbourne,Victoria,Y,,Y,,,,,,,jenny@educatetoelevate.com.au,03 9827 7466
Safe Special Needs Ltd,www.safespecialneeds.org,Wahroonga,New South Wales,Y,,,Y,Y,,Y,,Y,Safespecialneeds@gmail.com,
The Old Colonists Association Of Victoria,https://www.aboundcommunities.org.au,Fitzroy North,Victoria,,,Y,,,,Y,,,admin@aboundcommunities.org.au,(03) 9481 9300
Mannacare Inc,www.mannacare.org.au,Doncaster,Victoria,,,Y,,,Y,Y,Y,,contact@mannacare.org.au,03 98561201
Unity In Christ Church Inc.,,St Albans,Victoria,,,,,Y,,,,,sanjose_romy@yahoo.com,
South Yarra Community Baptist Church,southyarrabaptist.church,South Yarra,Victoria,,,,,,,,,,office@southyarrabaptist.church,(03) 9827 7900
Hexham Community Association Incorpora,,Hexham,Victoria,,,Y,,Y,,,,,hexhamcomm@hotmail.com,
Echo International Aid Ltd,www.echointernational.org.au,Upwey,Victoria,Y,,Y,Y,Y,Y,Y,Y,Y,jeremi@echointernational.org.au,
Aboriginal Interpreting Wa Aboriginal Corporation (Aiwa),www.kimberleyinterpreting.org.au/index.html,Broome,WA ,Y,,,Y,,Y,,Y,Y,ceo@aiwaac.org.au,891923981
Uca-Stawell Parish,,Stawell,Victoria,,,,Y,Y,,Y,,,graemetrickey@bigpond.com,
The Trustee For Berwick Education Trust,,Officer,VIC,Y,,,,,Y,,Y,,,
Medical Association For Prevention Of War - Australia Inc.,www.mapw.org.au,Carlton,Victoria,,,Y,,,,,,,eo@mapw.org.au,
Murray Valley Centre For The Intellectually Handicapped Inc,www.mvc.org.au,Wodonga,VIC,,,,,,,,,,admin@mvc.org.au,
Uca - Glenroy Uniting Church,,,,,,,Y,Y,Y,Y,Y,Y,elletsonjnl@optusnet.com.au,
Camberwell City Rsl Sub-Branch Patriotic Fund,,Melbourne,VIC,,,,,,,,,,charity@rslvic.com.au,
The Joyce Hood Charitable Trust,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,03 8623 5158
The Trustee For Lilydale Bush Nursing Hospital Trust,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
St Therese'S Catholic Church - Kennington,,Bendigo,VIC,,,,,,,,,,chancery@sandhurst.catholic.org.au,
Catholic Parish Of Mernda/Whittlesea,https://www.christthelightparish.org.au,Mernda,VIC,,,,Y,Y,Y,Y,Y,Y,merndawhittlesea@cam.org.au,03 9654 7619
Community Roadsafe Mildura Inc,www.roadsafemildura.org,,,,,,Y,Y,Y,Y,Y,,roadsafemildura@gmail.com,434044118
Moorabool Catchment Landcare Group Inc,https://mooraboolcatchment.com.au/,Ballan,Victoria,,,,Y,,Y,,Y,,Secretary.mooraboolclg@gmail.com,497770075
Vietnam Veterans Outer Eastern Melbourne Incorporated,www.oemvvaa.org.au,Boronia,Victoria,,,Y,,,,,,,allan.small1@bigpond.com,427123050
United Methodist Church Melbourne North Inc,,,,,,,Y,Y,,Y,,,tanbofu@yahoo.com.au,437145089
Cowangie Soldiers Memorial Hall,,Murrayville,Victoria,,,,,Y,,,,,beersrus6@bigpond.com,
Loch Sport Rsl Sub-Branch Patriotic Fund,,Melbourne,VIC,,,Y,,,,,,,charity@rslvic.com.au,03 96555558
Ocean Grove Barwon Heads Rsl Sub-Branch Patriotic Fund,,Melbourne,VIC,,,,,,,,,,charity@rslvic.com.au,
Woodleigh School Development Inc,http://www.woodleigh.vic.edu.au,Langwarrin South,VIC,Y,,,Y,,,,,,cblew@woodleigh.vic.edu.au,
Reservoir Rsl Sub-Branch Patriotic Fund,,Melbourne,VIC,,,Y,,,,,,,charity@rslvic.com.au,
Baaka Cultural Centre Wilcannia Aboriginal Corporation,,Wilcannia,NSW,,,Y,Y,,,Y,,,brendona@redie.org.au,
Uca The Uniting Church In Australia Presbytery Of Gippsland,,Stratford,VIC,,,,Y,Y,,,,,rongowland@netspace.net.au,419306601
Edithvale Pre School Centre Association Inc,http://edithvalepreschool.org,Edithvale,Victoria,Y,,,,,,,,,chrisshepherdson@edithvalepreschool.org,
Jikishoan Zen Buddhist Community Incorporated,https://jikishoan.org.au,Heidelberg West,Victoria,,,,,,,,,,jikishoantreasurer@gmail.com,
Australian Dental Foundation Incorporated,https://www.dentalfoundation.org.au/,Parkside,South Australia,,,,Y,,Y,Y,Y,,noakes@perks.com.au,08 8273 9320
Footscray Vietnamese Congregation Of Jehovah'S Witnesses,,Sunshine,Victoria,,,,,,,,,,footscrayvietnamese@gmail.com,
Port Fairy Rsl Sub-Branch Patriotic Fund,,Melbourne,VIC,,,Y,,,,,,,charity@rslvic.com.au,
Hannah Max Estate,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
St Josephs Catholic Church Black Rock,www.stmstj.com,Black Rock,VIC,,,,Y,Y,Y,Y,Y,Y,parishoffice@stmstj.com,
Pillars Of Guidance Inc,www.pgcc.org.au,Doveton,Victoria,,,,,Y,Y,Y,Y,Y,finance@pgcc.org.au,
Uniting Church Armstrong Creek,https://www.facebook.com/ArmstrongCreekFreshExpression,,,,,,Y,Y,Y,,,,ucacreek@gmail.com,
Australasian Hair & Wool Research Society,http://www.ahwrs.org.au,Essendon North,Victoria,,,,Y,,Y,,Y,,admin@ahwrs.org.au,393795454
K9S 4 Valour Incorporated,https://www.k9s4valour.org/,Wyndham Vale,Victoria,Y,,Y,,,,,,,melaniescott77@hotmail.com,94
Heart Apostolic Ministries Intl Inc.,,,,,,,,Y,,,,,revpmo@gmail.com,397437094
Mallacoota Rsl Sub-Branch,,,,,,,,,,,,,yvonne.dent12@gmail.com,12
Kaleidoscope Community Trust,,Geelong West,Victoria,,,Y,,,,,,,hello@kaleidoscopecs.com.au,
U3A Waverley Inc,u3awaverley.org.au,Chadstone,VIC,Y,,,,,,,,,u3awaverley@gmail.com,
Ananda Marga Pracaraka Samgha Ltd Preschool,http://www.sunrisepreschool.vic.edu.au/fitzroy-north/,,,Y,,,,,,,,,sunrise.preschool@gmail.com,
The Bush Church Aid Society Of Australia As The Operator Of A Pbi ,www.bushchurchaid.com.au,Sydney,NSW,,,,,,,,,,,
St Josephs Catholic Church Timboon,https://www.ballarat.catholic.org.au/parish/timboon/,Timboon,VIC,,,,,,,,,,timboon@ballarat.catholic.org.au,
Wangaratta Presbyterian Church,,,,,,,Y,Y,Y,Y,Y,Y,tgilbert@mawsons.com.au,
Paynesville Community Church,,Paynesville,Victoria,,,,,,,,,,paynesville.com.church@gmail.com,
Worldshare,worldshare.org.au,Chatswood,New South Wales,,,Y,Y,,,Y,,,,
St Marys School Sea Lake,,Sea Lake,VIC,Y,,,Y,Y,Y,Y,Y,,principal@smsealake.catholic.edu.au,
Swedenborg Community Victoria,http://www.swedenborgcommunityvictoria.net.au/,Redan,Victoria,,,,,Y,,,,,anjarvis72@optusnet.com.au,490494009
Australian Ballet Centre Pty. Ltd.,,Southbank,VIC,,,,,,,,,,,
Presbyterian Ladies' College,http://www.plc.vic.edu.au,Burwood,Victoria,Y,,,Y,,Y,,Y,,businessmanager@plcarmidale.nsw.edu.au,267701700
Wallara Australia Ltd.,www.wallara.com.au,Keysborough,Victoria,,,Y,,,,,,,info@wallara.com.au,(03) 9792 2985
The Korowa Foundation Limited,,Glen Iris,Victoria,Y,,,Y,,Y,,,,,
Australian Literacy Educators' Association Ltd,alea.edu.au,St Leonards,New South Wales,Y,,,Y,,,,,,office@alea.edu.au,
Gellibrand Support Services Inc,www.gellibrand.org.au,Sunshine,Victoria,,,,,,Y,,Y,,services@gellibrand.org.au,
The Trustee For Anglican Development Fund,www.melbourneanglican.org.au,Melbourne,Victoria,,,,,,,,,,acnc@melbourneanglican.org.au,
Maharaj Lal Das Brahmaand Bhuriwala Garibdassi Charitable Society Brahm Niwas Ashram Inc.,,Alphington,Victoria,,,,,Y,,,,,Jai@everest.edu.au,
Uca - St Andrews Portarlington,https://www.facebook.com/portarlingtonstleonards.uca,Portarlington,VIC,,,,Y,Y,Y,Y,Y,,neilbell@ozemail.com.au,
Grace Heart Community Church Inc.,,Sandringham,Victoria,,,,,Y,Y,Y,Y,Y,nebrock@hotmail.com,
The Knox School Limited,www.knox.vic.edu.au,Wantirna South,Victoria,Y,,,Y,,,,,,ian.foster@knox.vic.edu.au,88053800
Life For All Creatures Ltd.,,Olinda,VIC,,,,,,,,,,okosteo@live.com.au,
South West Goulburn Landcare Inc,,Broadford,Victoria,,,,,Y,Y,,Y,,gpaulfleming@bigpond.com,
Donkey Wheel Ltd,http://donkeywheel.org,Melbourne,Victoria,,,,,,,,,,jane@donkeywheel.org,468466673
Mainly Music (Australia) Limited,www.mainlymusic.org,Blackburn,Victoria,,,,,,,,,,johood@mainlymusic.org,397203310
Rupanyup Preschool Kindergarten Incorporated,,Rupanyup,Victoria,,,,,Y,,Y,,,rupkindercomm@gmail.com,
The Bruce Hayman Charitable Trust,,Melbourne,VIC,Y,,,,,,,,,charitableadmin@eqt.com.au,(03)86235158
Christian Brethren Community Care Limited,www.temcare.org.au,Ringwood North,Victoria,,,,Y,Y,Y,Y,Y,Y,office@temcare.org.au,03 98777729
Jd No. 5 (Albury & District) Pty Ltd,https://japara.com.au/,Sydney,New South Wales,,,Y,,,,Y,,,,
Highett Rsl Sub-Branch Patriotic Fund,,Melbourne,VIC,,,Y,,,,,,,charity@rslvic.com.au,
Melbourne Karen Buddhist Association,https://www.facebook.com/mkba.karen,,,,,,Y,Y,Y,,Y,,seiseithein@gmail.com,
St Mary'S Anglican Church Sunbury,www.stmarysanglican.org.au,Sunbury,Victoria,,,,,Y,Y,Y,Y,Y,admin@stmarysanglican.org.au,
Yiliyapinya Indigenous Corporation,https://www.yiliyapinya.org.au/,Woolloongabba,QLD,Y,,Y,Y,Y,Y,Y,Y,,sheryl@yiliyapinya.org.au,413484276
J. Waks Cultural Centre Inc. Public Fund,,Brighton East,Victoria,,,,,,,,,,mzylberman@tpg.com.au,
Ymca Aquatic And Event Services Limited,https://victoria.ymca.org.au/,,,,,,Y,,,Y,,,vicoffice@ymca.org.au,03 9403 5000
Melbourne Pioneer Pty. Ltd.,www.melbournepioneer.com,,,Y,,,,,,,,,,
New Life Assembly Of God Inc,,Clayton,Victoria,,,,Y,Y,Y,Y,Y,Y,newlifeACC7@gmail.com,
The Vietnamese Alliance Church Melton,,Deer Park,Victoria,,,,,Y,,,,,vac.melton@gmail.com,
Mother'S Day Classic Foundation,www.mothersdayclassic.com.au,Melbourne,Victoria,,,,,,Y,,,,tkokkinos@womeninsuper.com.au,03 8677 3809
Mullum Mullum Anglican Parish Ringwood,mullumanglican.org.au,Ringwood,Victoria,,,,,,,Y,,,office@mullumanglicanparish.org,
Wat Monirangsi The Institution Of Buddhism Education And Development Inc,,Doveton,Victoria,,,,,,,,,,vongchea@yahoo.com,
Atlantis Cat Rescue Inc.,atlantiscatrescue.com,Craigieburn,Victoria,,,,,,,,,,atlantiscatrescue@gmail.com,456453926
Kingsville St Pauls Walmsley,www.melbourneanglican.org.au,Melbourne,VIC,,,,,,,,,,acnc@melbourneanglican.org.au,
United Sri Lankan Muslim Association Of Australia,www.usmaa.org.au,Brandon Park,Victoria,,,,Y,Y,Y,,Y,,info@usmaa.org.au,
Lachy'S Reach Incorporated,,Gisborne,VIC,,,,Y,Y,Y,Y,Y,Y,melaniejorgensen26@gmail.com,61418315338
Presence International House Churches Inc,,Ferntree Gully,VIC,,,,,Y,Y,Y,Y,Y,presencechurch@optusnet.com.au,
Reef Life Survey Foundation Incorporated,https://www.reeflifesurvey.com,Battery Point,Tasmania,,,,,,,,,,rstuarts@utas.edu.au,
The Fund For Glenys And Tegan Saffigna,https://saffigna45.wixsite.com/saffignatwins?fbclid=IwAR2BCungtlUiUIXS1KtVLxf-zTSErXUkP7Vrx6LpW6OxSfvI2_sjv4_R2OQ,,,,,Y,,,Y,,,,saffigna@bigpond.net.au,4521766242
The Order Of The Cross (Melbourne Chapter) Inc,https://www.orderofthecross.org/,Prahran,Victoria,,,,,,,,,,gregory.mcmillan@bigpond.com,
Solve Disability Solutions Inc,www.solve.org.au,Abbotsford,Victoria,,,Y,Y,Y,Y,Y,Y,Y,,
The Trustee For The Gateway Foundation,,Seaford,Victoria,,,,Y,Y,,Y,,,info@gateway.asn.au,
Church Of Christ Wagga,https://waggachurchofchrist.org.au/,,,,,,,Y,Y,Y,Y,Y,fishgoo.pb@gmail.com,419401407
The Trustee For The Donald District Hospital Foundation,,Donald,Victoria,,,Y,,,,,,,bird.andrew@bigpond.com,
St Lukes Anglican Church South Melbourne,stlukeschurch.net.au,South Melbourne,Victoria,,,,,,,,,,Office@stlukeschurch.net.au,
Dandenong Ranges Steiner School Inc,www.drss.vic.edu.au,Emerald,Victoria,Y,,,Y,,,,,,office@drss.vic.edu.au,
Jika Jika Community Centre Inc,http://www.jikajika.org.au,Northcote,,,,Y,,Y,Y,Y,Y,Y,office@jikajika.org.au,394825100
St Pauls Lutheran Church Shepparton,https://www.sheppartonlutheranchurch.org/,Shepparton,Victoria,,,,Y,Y,,,,,vhope3579@gmail.com,
Corio Bay Innovators Inc,www.dal.org.au,Geelong,Victoria,,,Y,,,,,,,dkordic@dal.org.au,
Laryngectomee Association Of Victoria Inc,Laryassocvic.org,Mernda,Victoria,,,,,,,,,,lorrie.l@laryassocvic.org,449268158
I'M Still Learning Incorporated,www.imstilllearning.org,Pascoe Vale,Victoria,Y,,,,,,,,,info@imstilllearning.org,450766143
The Scobie & Claire Mackinnon Trust,,Melbourne,Victoria,,,,,,,,,,ptsakmakis@eqt.com.au,
"Affirm Life Church, Inc",https://www.affirmlifechurch.com,Bayswater,Victoria,,,,,,,,,,rchateli@bigpond.net.au,417236797
Stawell Hospital Auxiliary,srh.org.au,Stawell,VIC,,,,,,,,,,stawellhospitalauxiliary@gmail.com,
The Lauriston Museum And Gallery Charitable Trust Fund,www.lauriston.vic.edu.au,Armadale,VIC,Y,,,Y,,Y,,,,accounts@lauriston.vic.edu.au,398647555
Victoria Immanuel Church Inc.,,Point Cook,Victoria,,,,Y,Y,,,,,victoria.immanuel.church@gmail.com,435128600
The World Community For Christian Meditation Australia,http://wccmaustralia.org.au,Carlton,Victoria,,,,Y,,,,,,anna.loughlin@gmail.com,409243345
Craigieburn And Wallan Uniting Church In Australia,http://stthomas.unitingchurch.org.au/,Craigieburn,VIC,,,,,,,,,,accounts@stthomas.unitingchurch.org.au,466681569
Scots Presbyterian Church Carisbrook,http://castlemainepc.org.au/,Carisbrook,Victoria,,,,Y,Y,,,,,richmack290@gmail.com,03 54734414
Sacred Heart Catholic Church Croydon,www.sacredheartcroydon.org,Croydon,VIC,,,,Y,Y,Y,Y,Y,Y,Croydon@cam.org.au,
Unity College Australia Incorporated,www.unity.edu.au,Belconnen,ACT,Y,,,,,,,,,info@unity.edu.au,02 6161 0050
Beleura Hill Pre School Inc,www.beleurahillpreschool.com.au,Mornington,Victoria,,,,,,,,,,admin@beleurahillpreschool.com.au,359753300
Italian Cancer Care Inc.,,Parkville,Victoria,,,,,,,,,,info@italiancancercare.com.au,(03)93879830
Youth Alive (Vic) Cultural Trust,http://www.youthalivevictoria.com.au,Dandenong North,Victoria,,,,,,,,,,ramon@youthalivevictoria.com.au,
Cooindaa Inc,www.cooindaa.org.au,Moorabbin,Victoria,,,,Y,,,,,,info@cooindaa.org.au,0492 823 366
Reach Out Community Educational Center Incorporated,,Padstow,New South Wales,,,Y,Y,Y,Y,Y,Y,,alexfajardo694@gmail.com,481139942
Estate Sydney Maxwell Wellard,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
Coburg High School Historical Group Inc,www.coburghighhistorical.org.au,Coburg,Victoria,,,,,,,,,,coburghshg@hotmail.com,
Seaford Heights Pre School Association,http://www.seafordheightskindergarten.com,Seaford,Victoria,Y,,,,Y,,,,,seaford.heights.kin@kindergarten.vic.gov.au,397866940
Headway Gippsland Inc,www.headwaygippsland.org.au,Morwell,Victoria,,,,Y,,Y,Y,Y,,j.henry@headwaygippsland.org.au,03 5127 7166
Waratah Beach Surf Life Saving Club Inc.,waratahbeach.com.au,Sandy Point,Victoria,,,,Y,,,,,,treasurer@waratahbeach.com.au,03 5684 1276
St Peters Catholic Church Toorak,http://pol.org.au/toorak,Toorak,VIC,,,,Y,Y,Y,Y,Y,Y,armadale.toorak@cam.org.au,
Association Of Mainland Southeast Asia Scholars Inc,https://www.amseas.net/,Kensington,NSW,Y,,,,,,,,,amseas.scholars@gmail.com,
Uca - Upper Kiewa Valley,,Mount Beauty,Victoria,,,,Y,,,Y,,,mountbeautyuc@gmail.com,
Golden Square Kindergarten Inc,,Golden Square,Victoria,Y,,,,,,,,,,
Mentone Community Assistance And Information Bureau Inc,https://www.mycommunitylife.com.au/Community/Mentone-Community-Assistance-and-Information-Bureau-Inc,Mentone,Victoria,,,,,,,Y,,Y,mcabic@bigpond.net.au,03 9583 2436
Ex Technical Association Inc.,www.exta.org.au,Kariong,New South Wales,Y,,,,,,,,,exta@jandar.com.au,408686631
